Chi?u cao (mét),Cân n?ng (Kg) ví d?: 65,S? b?a ?n trong ngày,T?n su?t ?n sáng trong tu?n (??c tính bu?i/tu?n),T?n su?t ?n t?i (sau 21h) trong tu?n (??c tính b?a/tu?n),"T?n su?t s? d?ng th?c ?n nhanh nh? pizza, hamburger (??c tính b?a/tu?n)",L??ng rau c? tiêu th? trong m?i b?a ?n (??c tính gam/b?a ?n),L??ng n??c tiêu th? m?i ngày (??c tính lít/ngày),"Tiêu th? th?c ph?m giàu protein nh?: Th?t bò, th?t gà, phô mai, tr?ng, s?a... (??c tính gam/b?a ?n)",Th?i gian t?p th? d?c trong tu?n (??c tính gi?/tu?n),T?n su?t tham gia các ho?t ??ng th? d?c th? thao (??c tính gi?/tu?n),T?n su?t s? d?ng r??u bia và ?? u?ng có c?n,Hút thu?c lá và các lo?i thu?c ch?a nicotine,Th?i gian ng? trung bình m?i ngày (ti?ng/ngày),Yêu c?u v? ho?t ??ng th? ch?t (lao ??ng chân tay) trong công vi?c hi?n t?i,Khu v?c s?ng có công viên không,"Th?i gian s? d?ng thi?t b? công ngh? (?i?n tho?i, máy tính. laptop...) trong ngày (gi?/ngày)","Tr?m c?m, lo âu và các v?n ?? không ?n ??nh tâm lý"
169,70,3,M?i ngày,M?i ngày,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,T? 1 - 3 gi?,G?n nh? không,Th??ng xuyên,Không,8,1,Không,5,Không
1.52,38,3,T? 3 - 6 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,Ít h?n 1 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,8,2,Không,3,Không
1.63,43,2,T? 3 - 6 b?a/tu?n,Không ?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,7,1,Không,2,Không
1.52,38,2,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Không,Không,8,3,Không,10,Không
1.50,40,2,Không ?n,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,T? 1 - 3 gi?,G?n nh? không,Không,Không,10,2,Không,9,Không
1.64,48,2,Không ?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,9,2,Không,4,Không
1.59,43,2,Không ?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,8,3,Không,3,Không
1.60,55,2,T? 1 - 3 b?a/tu?n,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,Ít h?n 1 lít,T? 50 - 100 gram,G?n nh? không,D??i 2 gi?,Không,Không,7,1,Không,5,Không
1.59,67,2,Không ?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,3,1,Không,4,Không
1.58,45,1,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,Ít h?n 1 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Không,Không,5,1,Không,6,Không
1.70,64,3,M?i ngày,Không ?n,Không ?n,Ít h?n 50 gram,T? 2 - 3 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,6,3,Không,4,Không
1.60,50,2,T? 1 - 3 b?a/tu?n,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,Ít h?n 50 gram,T? 1 - 3 gi?,D??i 2 gi?,Không,Không,6,3,Không,3,Không
1.65,49,3,T? 3 - 6 b?a/tu?n,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Không,Không,6,3,Không,3,Không
1.78,80,2,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,Ít h?n 50 gram,Trên 3 lít,T? 50 - 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Không,Không,4,4,Không,1,Không
1.61,49,3,T? 3 - 6 b?a/tu?n,Không ?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Không,Không,8,3,Không,2,Không
1.58,65,3,T? 3 - 6 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,7,3,Không,2,Không
1.49,37,2,Không ?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Không,Không,8,3,Không,4,Không
1.50,42,3,T? 3 - 6 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,Trên 100 gram,Trên 3 gi?,G?n nh? không,Ít,Không,9,3,Có,3,Không
1.62,57,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,Trên 100 gram,T? 1 - 3 gi?,G?n nh? không,Không,Không,10,3,Không,4,Không
1.79,78,3,T? 1 - 3 b?a/tu?n,Không ?n,T? 1 - 3 b?a/tu?n,Trên 100 gram,T? 2 - 3 lít,Trên 100 gram,D??i 1 gi?,G?n nh? không,Ít,Không,10,3,Không,10,Không
1.47,47,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,Trên 100 gram,T? 1 - 2 lít,Trên 100 gram,D??i 1 gi?,T? 2 - 4 gi?,Không,Không,10,3,Không,4,Không
1.73,46,3,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,Trên 3 lít,T? 50 - 100 gram,D??i 1 gi?,T? 2 - 4 gi?,Không,Không,8,3,Không,6,Không
1.47,45,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,Ít h?n 1 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,10,2,Không,4,Không
1.70,53,3,M?i ngày,M?i ngày,Không ?n,T? 50 - 100 gram,Trên 3 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Không,Không,11,3,Không,6,Không
1.69,56,3,M?i ngày,Không ?n,T? 3 - 6 b?a/tu?n,Trên 100 gram,Ít h?n 1 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Ít,Không,8,2,Không,3,Không
1.60,44,2,Không ?n,T? 1 - 3 b?a/tu?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,T? 2 - 4 gi?,Không,Không,8,3,Không,5,Không
1.50,38,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,Ít h?n 1 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Không,Không,8,2,Không,4,Không
1.59,55,3,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,T? 2 - 4 gi?,Không,Không,7,3,Không,6,Không
1.62,50,3,M?i ngày,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,T? 2 - 4 gi?,Không,Không,8,2,Không,3,Không
1.80,75,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Ít,Không,2,2,Không,5,Không
1.82,95,3,T? 3 - 6 b?a/tu?n,Không ?n,T? 1 - 3 b?a/tu?n,Trên 100 gram,T? 2 - 3 lít,Trên 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,7,3,Không,4,Không
1.59,53,3,M?i ngày,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,8,3,Không,6,Không
1.48,43,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Ít,Không,8,2,Không,6,Không
1.58,42,3,M?i ngày,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,10,2,Không,5,Không
1.60,40,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Ít,Không,8,3,Không,6,Không
1.59,43,3,M?i ngày,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,8,3,Không,3,Không
1.65,48,3,M?i ngày,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,Trên 3 gi?,Trên 4 gi?,Trung bình,Không,7,1,Không,4,Không
1.68,63,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,Trên 100 gram,T? 2 - 3 lít,Trên 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,8,3,Không,3,Không
1.65,45,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,Ít h?n 50 gram,T? 2 - 3 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Ít,Không,8,2,Không,3,Không
1.69,81,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,Trên 100 gram,D??i 1 gi?,T? 2 - 4 gi?,Không,Không,7,3,Không,3,Không
1.64,38,2,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Ít,Không,8,3,Không,3,Không
1.72,50,2,Không ?n,T? 1 - 3 b?a/tu?n,M?i ngày,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,T? 2 - 4 gi?,Không,Không,8,3,Không,12,Không
1.69,50,3,T? 3 - 6 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,Ít h?n 50 gram,T? 1 - 3 gi?,D??i 2 gi?,Ít,Không,12,1,Không,2,Không
1.80,70,3,M?i ngày,Không ?n,Không ?n,Trên 100 gram,T? 1 - 2 lít,Trên 100 gram,Trên 3 gi?,G?n nh? không,Ít,Không,8,4,Không,2,Không
1.68,48,3,M?i ngày,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,T? 1 - 2 lít,Trên 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Ít,Không,8,3,Không,8,Không
1.71,49,3,M?i ngày,Không ?n,Không ?n,Ít h?n 50 gram,T? 2 - 3 lít,T? 50 - 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Không,Không,10,3,Không,5,Không
1.65,56,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,8,3,Không,1,Không
1.50,36,3,T? 1 - 3 b?a/tu?n,M?i ngày,Không ?n,Ít h?n 50 gram,Ít h?n 1 lít,Ít h?n 50 gram,G?n nh? không,G?n nh? không,Ít,Không,8,3,Không,4,Không
1.50,45,3,M?i ngày,M?i ngày,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,9,3,Có,3,Không
1.78,75,3,M?i ngày,Không ?n,Không ?n,Ít h?n 50 gram,T? 2 - 3 lít,Ít h?n 50 gram,D??i 1 gi?,G?n nh? không,Ít,Không,8,2,Không,1,Không
1.56,54,4,M?i ngày,M?i ngày,M?i ngày,Ít h?n 50 gram,T? 2 - 3 lít,T? 50 - 100 gram,D??i 1 gi?,T? 2 - 4 gi?,Ít,Không,8,2,Không,8,Không
1.66,55,3,M?i ngày,Không ?n,Không ?n,Trên 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,T? 2 - 4 gi?,Không,Không,7,3,Không,4,Không
1.68,70,3,T? 3 - 6 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Trung bình,Không,8,4,Không,5,Không
1.60,49,2,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,Trên 3 gi?,T? 2 - 4 gi?,Ít,Không,8,2,Không,3,Có
1.70,75,3,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Không,Không,8,4,Không,4,Không
1.70,60,3,M?i ngày,Không ?n,Không ?n,Trên 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,T? 2 - 4 gi?,Ít,Không,8,2,Không,5,Không
1.53,40,3,M?i ngày,Không ?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Ít,Không,7,3,Không,4,Không
1.55,54,3,M?i ngày,Không ?n,Không ?n,Trên 100 gram,T? 1 - 2 lít,Trên 100 gram,G?n nh? không,G?n nh? không,Không,Không,7,3,Không,1,Không
1.59,46,3,T? 3 - 6 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,Ít h?n 50 gram,T? 1 - 3 gi?,D??i 2 gi?,Ít,Không,8,2,Không,4,Không
1.65,48,2,T? 1 - 3 b?a/tu?n,M?i ngày,Không ?n,Trên 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,8,3,Không,3,Không
1.56,52,3,M?i ngày,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,Trên 100 gram,Ít h?n 1 lít,Trên 100 gram,Trên 3 gi?,Trên 4 gi?,Ít,Không,8,4,Không,4,Không
1.64,42,2,T? 1 - 3 b?a/tu?n,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,G?n nh? không,D??i 2 gi?,Ít,Không,10,2,Không,12,Không
1.63,60,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Ít,Không,7,4,Có,5,Không
1.65,58,2,T? 3 - 6 b?a/tu?n,Không ?n,Không ?n,Trên 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,7,1,Không,5,Không
1.65,60,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,T? 1 - 2 lít,Trên 100 gram,D??i 1 gi?,D??i 2 gi?,Ít,Không,8,2,Không,1,Không
1.78,65,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,8,3,Không,12,Không
1.54,50,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Ít h?n 50 gram,D??i 1 gi?,D??i 2 gi?,Ít,Không,11,1,Không,1,Không
1.70,70,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,Trên 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Trung bình,Không,6,3,Có,5,Không
1.62,58,2,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Ít h?n 50 gram,D??i 1 gi?,G?n nh? không,Ít,Không,8,2,Không,11,Không
1.65,55,2,Không ?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,Ít h?n 1 lít,Ít h?n 50 gram,D??i 1 gi?,G?n nh? không,Trung bình,Có,7,4,Không,2,Không
1.58,45,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Ít,Không,10,2,Không,2,Không
1.53,64,3,T? 3 - 6 b?a/tu?n,Không ?n,Không ?n,Trên 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Không,Không,8,2,Không,1,Không
1.53,42,3,M?i ngày,Không ?n,M?i ngày,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,D??i 2 gi?,Ít,Không,8,1,Không,2,Không
1.65,60,3,M?i ngày,Không ?n,Không ?n,Trên 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,D??i 2 gi?,Không,Không,10,4,Không,1,Không
1.52,49,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,D??i 1 gi?,G?n nh? không,Ít,Không,8,2,Không,2,Không
1.56,56,3,T? 3 - 6 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,8,3,Không,1,Không
1.53,42,3,M?i ngày,M?i ngày,T? 3 - 6 b?a/tu?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,D??i 2 gi?,Ít,Không,6,1,Không,3,Không
1.55,48,3,M?i ngày,T? 1 - 3 b?a/tu?n,T? 3 - 6 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Ít,Không,8,4,Không,2,Không
1.85,75,4,T? 3 - 6 b?a/tu?n,Không ?n,Không ?n,Trên 100 gram,Trên 3 lít,Trên 100 gram,Trên 3 gi?,G?n nh? không,Trung bình,Có,8,4,Có,2,Không
1.55,60,3,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,Trên 100 gram,T? 1 - 2 lít,Trên 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,8,4,Không,2,Không
1.75,54,3,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,Ít h?n 50 gram,T? 2 - 3 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Ít,Không,6,2,Không,8,Không
1.55,47,3,T? 3 - 6 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,6,4,Không,2,Không
1.62,55,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Trung bình,Có,7,3,Có,2,Không
1.68,58,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,Ít h?n 1 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Không,Không,9,2,Không,1,Không
1.72,73,3,T? 3 - 6 b?a/tu?n,Không ?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,T? 1 - 2 lít,Ít h?n 50 gram,D??i 1 gi?,D??i 2 gi?,Ít,Không,8,2,Không,4,Không
1.78,72,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Trung bình,Không,8,4,Không,4,Không
1.65,50,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,Trên 3 gi?,D??i 2 gi?,Ít,Không,8,4,Không,1,Không
1.75,71,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,Trên 100 gram,T? 1 - 2 lít,Trên 100 gram,Trên 3 gi?,D??i 2 gi?,Ít,Không,8,2,Không,4,Không
1.70,60,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Trung bình,Có,7,4,Không,1,Không
1.62,65,3,T? 3 - 6 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Ít,Không,7,2,Không,6,Có
1.70,60,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Trung bình,Không,8,4,Không,4,Không
1.60,51,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,6,2,Không,7,Không
1.75,55,3,T? 3 - 6 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Ít,Không,8,4,Có,10,Không
1.50,56,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,8,3,Không,3,Không
1.57,59,4,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 3 - 6 b?a/tu?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,6,4,Có,1,Không
1.63,41,3,M?i ngày,M?i ngày,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,G?n nh? không,G?n nh? không,Ít,Có,8,2,Không,8,Không
1.55,50,3,M?i ngày,M?i ngày,Không ?n,Trên 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Ít,Không,9,3,Không,1,Không
1.62,70,3,T? 3 - 6 b?a/tu?n,Không ?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,Ít h?n 50 gram,G?n nh? không,D??i 2 gi?,Ít,Không,8,2,Không,18,Không
1.60,68,3,M?i ngày,Không ?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,Trên 100 gram,G?n nh? không,G?n nh? không,Không,Không,6,3,Không,1,Không
1.64,49,4,M?i ngày,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,Trên 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Ít,Không,8,2,Không,6,Không
1.63,52,4,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Ít,Không,6,4,Không,5,Có
1.78,70,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Ít h?n 50 gram,D??i 1 gi?,G?n nh? không,Không,Không,10,4,Có,3,Không
1.58,45,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,T? 2 - 3 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Ít,Không,8,2,Không,6,Không
1.61,61,3,M?i ngày,M?i ngày,T? 3 - 6 b?a/tu?n,T? 50 - 100 gram,T? 2 - 3 lít,Trên 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,9,3,Không,2,Không
1.60,70,3,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Trên 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,5,1,Không,8,Có
1.67,54,2,T? 1 - 3 b?a/tu?n,Không ?n,T? 3 - 6 b?a/tu?n,Ít h?n 50 gram,T? 1 - 2 lít,Ít h?n 50 gram,D??i 1 gi?,G?n nh? không,Không,Không,8,2,Không,2,Không
1.81,60,4,M?i ngày,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,Trên 100 gram,Trên 3 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Nhi?u,Không,7,3,Có,3,Không
1.57,60,3,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Không,Không,8,3,Không,1,Không
1.65,58,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Ít h?n 50 gram,D??i 1 gi?,G?n nh? không,Không,Không,8,4,Không,3,Không
1.65,55,3,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Không,Không,8,3,Không,1,Không
1.68,60,4,M?i ngày,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Trung bình,Có,7,3,Không,1,Không
1.55,49,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,Trên 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Không,Không,9,2,Không,2,Không
1.79,65,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Ít h?n 50 gram,D??i 1 gi?,G?n nh? không,Trung bình,Không,8,4,Không,3,Không
1.70,60,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Không,Không,8,1,Không,4,Không
1.62,53,3,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Ít h?n 50 gram,G?n nh? không,G?n nh? không,Không,Không,8,3,Có,1,Không
1.65,65,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,10,3,Không,5,Không
1.60,50,3,M?i ngày,T? 3 - 6 b?a/tu?n,Không ?n,Trên 100 gram,T? 1 - 2 lít,Ít h?n 50 gram,G?n nh? không,G?n nh? không,Không,Không,6,2,Không,2,Không
1.72,63,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Ít h?n 50 gram,G?n nh? không,T? 2 - 4 gi?,Không,Không,8,4,Không,1,Không
